day,sunrise,noon,sunset,,avearage of all,Avg of sunrise,avg of noon,avg of sunset
1,61,81,74,,,,,
2,64,74,63,,,,,
3,56,62,60,,,,,
4,58,73,63,,,,,
5,65,78,66,,,,,
6,61,74,69,,,,,
7,68,82,74,,,,,
8,59,54,55,,,,,
9,56,72,64,,,,,
10,58,68,69,,,,,
11,60,63,60,,,,,
12,62,64,66,,,,,
13,63,76,69,,,,,
14,65,68,62,,,,,
15,59,74,67,,,,,
16,63,76,69,,,,,
17,60,76,70,,,,,
18,61,80,71,,,,,
19,64,75,72,,,,,
20,60,87,79,,,,,
21,60,78,67,,,,,
22,64,78,69,,,,,
23,60,75,65,,,,,
24,61,72,66,,,,,
25,65,68,62,,,,,
26,58,66,60,,,,,
27,56,68,61,,,,,
28,61,64,62,,,,,
29,59,74,64,,,,,
30,56,73,67,,,,,
31,56,71,65,,,,,
32,54,71,62,,,,,
33,58,76,70,,,,,
34,67,82,74,,,,,
35,64,74,65,,,,,
36,64,76,65,,,,,
37,50,65,56,,,,,
38,51,68,57,,,,,
39,51,71,60,,,,,
40,53,70,62,,,,,
41,55,70,66,,,,,
42,64,76,72,,,,,
43,68,81,73,,,,,
44,68,70,70,,,,,
45,58,72,62,,,,,
46,59,62,67,,,,,
47,57,74,67,,,,,
48,51,67,60,,,,,
49,63,79,63,,,,,
50,56,72,67,,,,,
51,66,80,65,,,,,
52,60,69,62,,,,,
53,56,60,56,,,,,
54,56,64,57,,,,,
55,56,66,59,,,,,
56,53,75,62,,,,,
57,55,66,61,,,,,
58,52,64,58,,,,,
59,58,68,62,,,,,
60,60,73,62,,,,,
61,56,66,50,,,,,
62,50,69,60,,,,,
63,58,67,64,,,,,